"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID","ADJOE_DIFF","ADJDE_DIFF","BARTHAG_DIFF","EFG_O_DIFF","EFG_D_DIFF","TOR_DIFF","TORD_DIFF","ORB_DIFF","DRB_DIFF","FTR_DIFF","FTRD_DIFF","X2P_O_DIFF","X2P_D_DIFF","X3P_O_DIFF","X3P_D_DIFF","ADJ_T_DIFF","WAB_DIFF"
2014,6,79,"North Carolina","Providence",77,11,2,0,"North Carolina-Providence",-1.5,-5.7,0.063,1.6,-1.9,-0.4,2.9,2.8,0.5,1,7.7,3.2,-2.1,-1.1,-1.1,5.9,3
2014,6,79,"North Carolina","Providence",77,11,2,0,"North Carolina-Providence",14.6,-0.5,0.134,4.6,-1.2,-0.7,-2.4,10.3,-0.3,-5,2.4,5.9,-5.2,0.6,3.9,2.4,5.2
2014,7,89,"Connecticut","Saint Joseph's",81,10,8,0,"Connecticut-Saint Joseph's",-1.3,-6.2,0.062,-2.4,-3.2,-1.4,4.3,0.9,5,-5.3,5.1,-4.2,-3.8,0.8,-1.2,-1.1,2.6
2014,8,71,"Memphis","George Washington",66,9,5,0,"Memphis-George Washington",2.4,0.2,0.033,0.4,1.2,-0.4,0.7,0.7,1.9,-7.1,0.4,2.5,1.8,-3.4,-0.2,2.3,-0.4
2014,1,88,"Arizona","Weber St.",59,16,29,0,"Arizona-Weber St.",10.2,-19.2,0.481,-2.4,-5.5,-3.3,5.3,8,-1.4,-8.7,-0.9,-0.4,-6.8,-3,-1.7,0,16.3
2014,2,75,"Wisconsin","American",35,15,40,0,"Wisconsin-American",20.9,-1.8,0.326,-2.5,0.8,-10.4,-4.3,1.6,-2.3,7.7,-13.6,-3.8,0.2,-0.3,2.2,2.5,13.4
2014,3,76,"Creighton","Louisiana Lafayette",66,14,10,0,"Creighton-Louisiana Lafayette",14.7,-2.6,0.259,7.4,-1.9,-3.8,-3.7,-8.8,-4,-10.4,-11,6.7,-3.6,4.3,1,-4.6,9.4
2014,4,73,"San Diego St.","New Mexico St.",69,13,4,0,"San Diego St.-New Mexico St.",-2.2,-11.3,0.157,-6.5,0,-3.5,4.5,-1.6,-3.6,-8.8,-1.7,-7.8,0.8,-1.9,-2.4,-3.1,8.3
2014,5,75,"Oklahoma","North Dakota St.",80,12,-5,1,"Oklahoma-North Dakota St.",4.3,-3.6,0.118,-2.8,-0.1,0.1,0.7,1.8,2.5,-2.2,-1.7,-6.7,2.7,3.2,-3.6,7.6,3.9
2014,6,74,"Baylor","Nebraska",60,11,14,0,"Baylor-Nebraska",11,4.5,0.071,3,1.1,1.1,-3.2,14.4,3,2.5,-12.6,0.9,-1.4,4.7,4.1,-3.5,1.8
2014,7,87,"Oregon","BYU",68,10,19,0,"Oregon-BYU",4.3,-0.5,0.064,2.9,0,0.8,2.3,-2.7,3.3,-3.8,11,1.8,1.2,2,-1.3,-3.7,2
2014,8,85,"Gonzaga","Oklahoma St.",77,9,8,0,"Gonzaga-Oklahoma St.",-2,-1.5,0,2.8,-1.7,2.7,-2.6,2.6,-2.5,-8.5,-2.4,2.3,-1.7,2.6,-0.9,-2.7,2.6
2014,1,64,"Wichita St.","Cal Poly",37,16,27,0,"Wichita St.-Cal Poly",14.4,-11.4,0.494,6.4,-4.6,1.5,0.1,4.1,-7,13.7,-7.2,8.1,-5,2,-2.7,4.7,18.8
2014,2,57,"Michigan","Wofford",40,15,17,0,"Michigan-Wofford",25.3,-2.3,0.502,6.9,-0.1,-1.6,-2.6,-1.5,1.5,1.9,-12.7,5.3,0.6,5.6,-1.1,0.5,14.2
2014,3,71,"Duke","Mercer",78,14,-7,1,"Duke-Mercer",16.3,-3.2,0.244,-0.2,2.5,-2.9,-0.5,3.2,0.2,1.5,-0.2,-1.3,3.4,0.7,-0.3,1.5,9.3
2014,4,71,"Louisville","Manhattan",64,13,7,0,"Louisville-Manhattan",12.6,-8.8,0.219,2.8,-1.5,-4.4,3.3,2.7,-0.6,-14.3,-14.4,4,0.3,-0.1,-4.1,-0.8,5.8
2014,5,83,"Saint Louis","North Carolina St.",80,12,3,0,"Saint Louis-North Carolina St.",-9.9,-11,0.041,-0.4,-3.1,2.8,3.6,-5.3,-6.6,3.3,-7,-1,-2.9,1.2,-2.5,1,3.2
2014,6,67,"Massachusetts","Tennessee",86,11,-19,1,"Massachusetts-Tennessee",-9.1,3.5,-0.142,0.6,0.1,2,1.8,-5.4,4.2,-2.6,5.7,-0.7,2.3,2.7,-3.7,8.7,3.2
2014,7,87,"Texas","Arizona St.",85,10,2,0,"Texas-Arizona St.",2.1,0.3,0.025,-5,0.2,1.2,-0.7,15.1,0,0.9,3.7,-1.9,-2.4,-6.3,2.6,-0.6,2.4
2014,8,56,"Kentucky","Kansas St.",49,9,7,0,"Kentucky-Kansas St.",9.3,3.3,0.059,1.1,0.7,-0.4,-2.9,7.3,-3.5,11.5,-8.6,1.7,-1,0.1,2.9,1.1,3.4
2014,1,61,"Florida","Pittsburgh",45,9,16,0,"Florida-Pittsburgh",-1.2,-5.6,0.031,1.5,-1.3,1.2,2.1,-1.9,-1,-1.9,-5.2,1.2,-2,0.8,0.4,-0.7,7.6
2014,2,57,"Kansas","Stanford",60,10,-3,1,"Kansas-Stanford",7.5,-0.9,0.083,2.9,-0.9,2.1,-0.6,8,0.7,3.3,8.5,5.6,-1.5,-2.4,0.6,1,5.8
2014,3,53,"Syracuse","Dayton",55,11,-2,1,"Syracuse-Dayton",1.2,-6.3,0.097,-4.2,-0.8,-3.3,3.1,4.2,2.7,-2.4,-6.3,-2.7,-2.8,-4.6,1.3,-3.9,7.3
2014,4,77,"UCLA","Stephen F. Austin",60,12,17,0,"UCLA-Stephen F. Austin",7,-5,0.164,1.8,-0.6,-2.4,-3.3,-8.4,-0.3,-1.7,-15,0.7,-1.4,3.1,-0.3,6.7,2.8
2014,1,78,"Virginia","Memphis",60,8,18,0,"Virginia-Memphis",2,-7.5,0.097,-1.1,-4.2,-2.1,-1.9,-1.9,-7.5,2.5,-1.3,-3.7,-7.1,3.9,1.3,-8.3,5.4
2014,2,65,"Villanova","Connecticut",77,7,-12,1,"Villanova-Connecticut",2.7,1.2,0.009,2.1,1.7,0,0.4,2.2,-4.1,6.2,2.9,5.7,0.8,-3.1,2.3,2.8,3.6
2014,3,85,"Iowa St.","North Carolina",83,6,2,0,"Iowa St.-North Carolina",5.2,4.1,0.002,4.3,0.7,-2.4,-3.4,-9.3,-2.8,-6.5,-10.7,4.7,-0.7,2.2,2.4,0.8,3.3
2014,4,80,"Michigan St.","Harvard",73,12,7,0,"Michigan St.-Harvard",7.7,0.1,0.068,2.4,-0.4,-0.2,-3.4,0.6,-1.8,-14.7,4,2.4,-1.4,0.6,0.5,0.7,4.7
2014,1,84,"Arizona","Gonzaga",81,8,3,0,"Arizona-Gonzaga",2.6,-5.9,0.057,-3.5,-2.3,-1.7,1.7,5.8,-2.2,-0.2,-4.4,-2.9,-3.1,-2.6,0.2,-2.2,5.4
2014,2,85,"Wisconsin","Oregon",77,7,8,0,"Wisconsin-Oregon",4.6,-4.1,0.072,-0.2,-1.9,-3.4,-3.6,-4.1,-4.5,-1.1,-20.7,0.3,-3.5,-1.3,1.7,-5.4,5.3
2014,2,85,"Wisconsin","Oregon",77,7,8,0,"Wisconsin-Oregon",14.8,-5.5,0.138,2.5,-0.3,-4.5,-0.9,1.9,-7.8,7.1,-13,4,-2.4,-0.4,4.3,-7.6,8.3
2014,2,85,"Wisconsin","Oregon",77,7,8,0,"Wisconsin-Oregon",0.1,-3.1,0.04,-0.9,-1.2,-3.2,-3.7,-5.1,-2.3,-2.1,-8.1,-1.9,-4.7,0.8,2.5,-0.4,7.4
2014,3,55,"Creighton","Baylor",85,6,-30,1,"Creighton-Baylor",6,2.4,0.026,7.6,-0.2,-2.8,-1,-12.4,-4.2,-10.9,0.7,8,0.6,3.4,-1.4,2.5,2.5
2014,4,63,"San Diego St.","North Dakota St.",44,12,19,0,"San Diego St.-North Dakota St.",-4.5,-12.3,0.135,-7.8,-5.4,-0.4,3.5,5.5,1.5,3.5,-7.8,-10.3,-2.6,-0.5,-7,0,5.8
2014,1,76,"Wichita St.","Kentucky",78,8,-2,1,"Wichita St.-Kentucky",-0.8,-3.2,0.023,2.5,-1.3,-1.9,2.1,-7,-3.5,-4.9,-1.1,2.3,-1.3,1.8,-1.1,-0.8,4.2
2014,2,79,"Michigan","Texas",65,7,14,0,"Michigan-Texas",12.6,3.2,0.079,8.3,2.9,-2.7,0.8,-10.2,0.3,-8.5,-14.3,5.8,7.3,7.5,-3.4,-6.1,4.1
