"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID"
2016,1,69,"Oregon","Saint Joseph's",64,8,5,0,"Oregon-Saint Joseph's"
2016,2,85,"Oklahoma","VCU",81,10,4,0,"Oklahoma-VCU"
2016,3,92,"Texas A&M","Northern Iowa",88,11,4,0,"Texas A&M-Northern Iowa"
2016,4,71,"Duke","Yale",64,12,7,0,"Duke-Yale"
2016,1,85,"North Carolina","Providence",66,9,19,0,"North Carolina-Providence"
2016,2,63,"Xavier","Wisconsin",66,7,-3,0,"Xavier-Wisconsin"
2016,14,75,"Stephen F. Austin","Notre Dame",76,6,-1,1,"Stephen F. Austin-Notre Dame"
2016,4,67,"Kentucky","Indiana",73,5,-6,0,"Kentucky-Indiana"
2016,1,77,"Virginia","Butler",69,9,8,0,"Virginia-Butler"
2016,15,50,"Middle Tennessee","Syracuse",75,10,-25,1,"Middle Tennessee-Syracuse"
2016,3,59,"Utah","Gonzaga",82,11,-23,0,"Utah-Gonzaga"
2016,4,78,"Iowa St.","Arkansas Little Rock",61,12,17,0,"Iowa St.-Arkansas Little Rock"
2016,1,79,"Kansas","Maryland",63,5,16,0,"Kansas-Maryland"
2016,2,92,"Villanova","Miami FL",69,3,23,0,"Villanova-Miami FL"
2016,1,82,"Oregon","Duke",68,4,14,0,"Oregon-Duke"
2016,2,77,"Oklahoma","Texas A&M",63,3,14,0,"Oklahoma-Texas A&M"
2016,1,101,"North Carolina","Indiana",86,5,15,0,"North Carolina-Indiana"
2016,7,56,"Wisconsin","Notre Dame",61,6,-5,1,"Wisconsin-Notre Dame"
2016,1,84,"Virginia","Iowa St.",71,4,13,0,"Virginia-Iowa St."
2016,10,63,"Syracuse","Gonzaga",60,11,3,0,"Syracuse-Gonzaga"
2016,1,59,"Kansas","Villanova",64,2,-5,0,"Kansas-Villanova"
2016,1,68,"Oregon","Oklahoma",80,2,-12,0,"Oregon-Oklahoma"
2016,1,88,"North Carolina","Notre Dame",74,6,14,0,"North Carolina-Notre Dame"
2016,1,62,"Virginia","Syracuse",68,10,-6,0,"Virginia-Syracuse"
2016,2,95,"Villanova","Oklahoma",51,2,44,0,"Villanova-Oklahoma"
2016,1,83,"North Carolina","Syracuse",66,10,17,0,"North Carolina-Syracuse"
2016,2,77,"Villanova","North Carolina",74,1,3,1,"Villanova-North Carolina"
2017,1,76,"Villanova","Mount St. Mary's",56,16,20,0,"Villanova-Mount St. Mary's"
2017,2,87,"Duke","Troy",65,15,22,0,"Duke-Troy"
2017,3,91,"Baylor","New Mexico St.",73,14,18,0,"Baylor-New Mexico St."
2017,4,80,"Florida","East Tennessee St.",65,13,15,0,"Florida-East Tennessee St."
2017,5,76,"Virginia","UNC Wilmington",71,12,5,0,"Virginia-UNC Wilmington"
2017,6,65,"SMU","USC",66,11,-1,0,"SMU-USC"
2017,7,93,"South Carolina","Marquette",73,10,20,0,"South Carolina-Marquette"
2017,8,84,"Wisconsin","Virginia Tech",74,9,10,0,"Wisconsin-Virginia Tech"
2017,1,66,"Gonzaga","South Dakota St.",46,16,20,0,"Gonzaga-South Dakota St."
2017,2,100,"Arizona","North Dakota",82,15,18,0,"Arizona-North Dakota"
2017,3,86,"Florida St.","Florida Gulf Coast",80,14,6,0,"Florida St.-Florida Gulf Coast"
2017,4,86,"West Virginia","Bucknell",80,13,6,0,"West Virginia-Bucknell"
2017,5,60,"Notre Dame","Princeton",58,12,2,0,"Notre Dame-Princeton"
2017,6,65,"Maryland","Xavier",76,11,-11,0,"Maryland-Xavier"
2017,7,85,"Saint Mary's","VCU",77,10,8,0,"Saint Mary's-VCU"
2017,8,68,"Northwestern","Vanderbilt",66,9,2,0,"Northwestern-Vanderbilt"
2017,1,100,"Kansas","UC Davis",62,16,38,0,"Kansas-UC Davis"
2017,2,78,"Louisville","Jacksonville St.",63,15,15,0,"Louisville-Jacksonville St."
2017,3,93,"Oregon","Iona",77,14,16,0,"Oregon-Iona"
2017,4,80,"Purdue","Vermont",70,13,10,0,"Purdue-Vermont"
2017,5,84,"Iowa St.","Nevada",73,12,11,0,"Iowa St.-Nevada"
2017,6,72,"Creighton","Rhode Island",84,11,-12,0,"Creighton-Rhode Island"
2017,7,92,"Michigan","Oklahoma St.",91,10,1,0,"Michigan-Oklahoma St."
2017,8,58,"Miami FL","Michigan St.",78,9,-20,0,"Miami FL-Michigan St."
2017,1,103,"North Carolina","Texas Southern",64,16,39,0,"North Carolina-Texas Southern"
2017,2,79,"Kentucky","Northern Kentucky",70,15,9,0,"Kentucky-Northern Kentucky"
2017,3,97,"UCLA","Kent St.",80,14,17,0,"UCLA-Kent St."
2017,4,76,"Butler","Winthrop",64,13,12,0,"Butler-Winthrop"
2017,5,72,"Minnesota","Middle Tennessee",81,12,-9,0,"Minnesota-Middle Tennessee"
2017,6,75,"Cincinnati","Kansas St.",61,11,14,0,"Cincinnati-Kansas St."
2017,7,58,"Dayton","Wichita St.",64,10,-6,0,"Dayton-Wichita St."
2017,8,77,"Arkansas","Seton Hall",71,9,6,0,"Arkansas-Seton Hall"
2017,1,62,"Villanova","Wisconsin",65,8,-3,0,"Villanova-Wisconsin"
2017,2,81,"Duke","South Carolina",88,7,-7,0,"Duke-South Carolina"
2017,3,82,"Baylor","USC",78,11,4,0,"Baylor-USC"
2017,4,65,"Florida","Virginia",39,5,26,0,"Florida-Virginia"
2017,1,79,"Gonzaga","Northwestern",73,8,6,0,"Gonzaga-Northwestern"
2017,2,69,"Arizona","Saint Mary's",60,7,9,0,"Arizona-Saint Mary's"
2017,3,66,"Florida St.","Xavier",91,11,-25,0,"Florida St.-Xavier"
2017,4,83,"West Virginia","Notre Dame",71,5,12,0,"West Virginia-Notre Dame"
2017,1,90,"Kansas","Michigan St.",70,9,20,0,"Kansas-Michigan St."
2017,2,69,"Louisville","Michigan",73,7,-4,0,"Louisville-Michigan"
2017,3,75,"Oregon","Rhode Island",72,11,3,0,"Oregon-Rhode Island"
2017,4,80,"Purdue","Iowa St.",76,5,4,0,"Purdue-Iowa St."
2017,1,72,"North Carolina","Arkansas",65,8,7,0,"North Carolina-Arkansas"
2017,2,65,"Kentucky","Wichita St.",62,10,3,0,"Kentucky-Wichita St."
2017,3,79,"UCLA","Cincinnati",67,6,12,0,"UCLA-Cincinnati"
2017,4,74,"Butler","Middle Tennessee",65,12,9,0,"Butler-Middle Tennessee"
2017,8,83,"Wisconsin","Florida",84,4,-1,1,"Wisconsin-Florida"
2017,7,70,"South Carolina","Baylor",50,3,20,1,"South Carolina-Baylor"
2017,1,61,"Gonzaga","West Virginia",58,4,3,0,"Gonzaga-West Virginia"
2017,2,71,"Arizona","Xavier",73,11,-2,0,"Arizona-Xavier"
2017,1,98,"Kansas","Purdue",66,4,32,0,"Kansas-Purdue"
2017,7,68,"Michigan","Oregon",69,3,-1,1,"Michigan-Oregon"
2017,1,92,"North Carolina","Butler",80,4,12,0,"North Carolina-Butler"
2017,2,86,"Kentucky","UCLA",75,3,11,0,"Kentucky-UCLA"
2017,4,70,"Florida","South Carolina",77,7,-7,0,"Florida-South Carolina"
2017,1,83,"Gonzaga","Xavier",59,11,24,0,"Gonzaga-Xavier"
2017,1,60,"Kansas","Oregon",74,3,-14,0,"Kansas-Oregon"
2017,1,75,"North Carolina","Kentucky",73,2,2,0,"North Carolina-Kentucky"
2017,7,73,"South Carolina","Gonzaga",77,1,-4,1,"South Carolina-Gonzaga"
2017,3,76,"Oregon","North Carolina",77,1,-1,1,"Oregon-North Carolina"
